City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
70,Victoria,HK,2020-04-18 18:48:46,22.29,114.16,75.0,88,96,5.01,overcast clouds,0.0,0.0
71,Nanortalik,GL,2020-04-18 18:53:33,60.14,-45.24,30.18,88,27,3.69,scattered clouds,0.0,0.0
72,Srednekolymsk,RU,2020-04-18 18:53:33,67.45,153.68,-12.33,89,47,7.87,scattered clouds,0.0,0.0
73,Fort Nelson,CA,2020-04-18 18:49:29,58.81,-122.7,48.2,45,40,8.05,scattered clouds,0.0,0.0
74,Boa Vista,BR,2020-04-18 18:51:08,2.82,-60.67,93.2,38,75,6.93,broken clouds,0.0,0.0
75,Upernavik,GL,2020-04-18 18:53:34,72.79,-56.15,25.68,89,100,29.04,light snow,0.0,0.29
76,Lata,PT,2020-04-18 18:49:44,40.16,-8.33,63.0,69,68,4.0,light rain,0.27,0.0
77,Puerto Escondido,MX,2020-04-18 18:49:44,15.85,-97.07,86.0,84,5,10.29,clear sky,0.0,0.0
78,Bubaque,GW,2020-04-18 18:53:35,11.28,-15.83,77.23,75,100,21.7,overcast clouds,0.0,0.0
79,Cherskiy,RU,2020-04-18 18:53:35,68.75,161.3,-4.95,87,39,6.04,scattered clouds,0.0,0.0
80,Madimba,TZ,2020-04-18 18:53:36,-10.4,40.33,77.0,94,75,9.17,broken clouds,0.0,0.0
81,Adrar,MR,2020-04-18 18:53:36,20.5,-10.07,82.8,25,96,8.77,overcast clouds,0.0,0.0
82,Waingapu,ID,2020-04-18 18:53:36,-9.66,120.26,79.18,80,83,3.6,broken clouds,0.0,0.0
83,Hithadhoo,MV,2020-04-18 18:50:44,-0.6,73.08,84.16,74,99,12.82,overcast clouds,0.0,0.0
84,Alanya,TR,2020-04-18 18:53:37,36.54,32.0,65.46,63,82,4.79,broken clouds,0.0,0.0
85,Klaksvik,FO,2020-04-18 18:53:37,62.23,-6.59,44.6,75,0,14.99,clear sky,0.0,0.0
86,Zhanakorgan,KZ,2020-04-18 18:53:37,43.91,67.25,66.99,23,0,10.02,clear sky,0.0,0.0
87,Qaanaaq,GL,2020-04-18 18:53:37,77.48,-69.36,19.42,82,26,11.03,scattered clouds,0.0,0.0
88,Te Anau,NZ,2020-04-18 18:50:09,-45.42,167.72,44.96,72,80,5.73,light rain,0.93,0.0
89,Avarua,CK,2020-04-18 18:52:15,-21.21,-159.78,78.8,78,13,5.82,few clouds,0.0,0.0
90,Carnarvon,AU,2020-04-18 18:50:04,-24.87,113.63,75.2,88,75,14.99,broken clouds,0.0,0.0
91,Christchurch,NZ,2020-04-18 18:53:30,-43.53,172.63,48.99,70,16,3.36,few clouds,0.0,0.0
92,Lebu,CL,2020-04-18 18:53:39,-37.62,-73.65,64.29,68,91,6.55,overcast clouds,0.0,0.0
93,Langham,CA,2020-04-18 18:53:39,52.37,-106.97,35.6,59,75,17.22,light snow,0.0,0.0
94,Uyovu,TZ,2020-04-18 18:53:39,-3.28,31.53,66.83,65,100,2.39,moderate rain,3.88,0.0
95,Ponta Do Sol,PT,2020-04-18 18:53:39,32.67,-17.1,63.0,58,6,1.99,clear sky,0.0,0.0
96,Kodiak,US,2020-04-18 18:53:40,57.79,-152.41,44.6,81,40,4.7,scattered clouds,0.0,0.0
97,Itupiranga,BR,2020-04-18 18:53:40,-5.13,-49.33,86.0,70,75,3.36,broken clouds,0.0,0.0
98,Saldanha,ZA,2020-04-18 18:53:40,-33.01,17.94,71.6,30,21,6.93,few clouds,0.0,0.0
99,Juruti,BR,2020-04-18 18:53:40,-2.15,-56.09,87.04,61,95,2.77,overcast clouds,0.0,0.0
100,Yakeshi,CN,2020-04-18 18:53:41,49.28,120.73,47.46,55,100,12.71,light rain,0.29,0.0
101,Sinegorye,RU,2020-04-18 18:53:41,62.08,150.48,-5.87,81,100,6.51,light snow,0.0,0.28
102,Chicama,PE,2020-04-18 18:53:41,-7.84,-79.15,71.6,78,75,11.41,broken clouds,0.0,0.0
103,Benito Juarez,MX,2020-04-18 18:53:42,19.39,-99.17,77.0,33,5,4.7,clear sky,0.0,0.0
104,Russell,US,2020-04-18 18:53:42,32.35,-85.2,78.8,54,40,11.41,scattered clouds,0.0,0.0
105,Biograd Na Moru,HR,2020-04-18 18:53:43,43.94,15.45,60.01,67,92,2.24,overcast clouds,0.0,0.0
106,Saint George,US,2020-04-18 18:49:45,37.1,-113.58,69.01,39,1,5.82,clear sky,0.0,0.0
107,Serowe,BW,2020-04-18 18:53:43,-22.38,26.72,70.83,33,1,7.81,clear sky,0.0,0.0
108,Punta Arenas,CL,2020-04-18 18:53:43,-53.15,-70.92,55.4,43,57,17.22,broken clouds,0.0,0.0
109,Dingle,PH,2020-04-18 18:53:44,11.0,122.67,80.22,79,0,8.52,clear sky,0.0,0.0
110,Faanui,PF,2020-04-18 18:53:44,-16.48,-151.75,82.76,70,60,8.72,broken clouds,0.0,0.0
111,Bethel,US,2020-04-18 18:53:44,41.37,-73.41,41.0,80,90,9.17,overcast clouds,0.0,0.0
112,Sisimiut,GL,2020-04-18 18:49:16,66.94,-53.67,25.56,91,100,22.46,light snow,0.0,0.71
113,Chokurdakh,RU,2020-04-18 18:53:45,70.63,147.92,-12.08,86,56,7.52,broken clouds,0.0,0.0
114,Dzaoudzi,YT,2020-04-18 18:53:45,-12.79,45.27,82.4,69,69,6.93,light rain,0.15,0.0
115,Victor Harbor,AU,2020-04-18 18:53:45,-35.57,138.62,50.0,99,81,1.57,broken clouds,0.0,0.0
116,Beyneu,KZ,2020-04-18 18:50:22,45.32,55.2,65.48,36,78,6.11,broken clouds,0.0,0.0
117,Shahrud,IR,2020-04-18 18:53:46,36.42,54.98,59.86,32,97,3.42,light rain,0.34,0.0
118,Gayeri,BF,2020-04-18 18:53:46,12.65,0.49,98.08,15,55,3.33,broken clouds,0.0,0.0
119,Leningradskiy,RU,2020-04-18 18:53:46,69.38,178.42,-3.64,89,51,7.58,broken clouds,0.0,0.0
120,Provideniya,RU,2020-04-18 18:52:47,64.38,-173.3,21.16,95,100,16.24,light snow,0.0,1.17
121,Adela,PH,2020-04-18 18:53:46,12.44,120.97,79.72,74,9,5.91,clear sky,0.0,0.0
122,Muros,ES,2020-04-18 18:53:47,42.78,-9.06,63.0,77,64,1.99,light rain,0.27,0.0
123,Haines Junction,CA,2020-04-18 18:53:47,60.75,-137.51,42.53,50,1,1.5,clear sky,0.0,0.0
124,Celestun,MX,2020-04-18 18:49:36,20.87,-90.4,87.78,53,36,7.61,scattered clouds,0.0,0.0
125,Woodstock,CA,2020-04-18 18:53:34,43.13,-80.75,46.99,69,36,5.99,light rain,0.11,0.0
126,Mitu,CO,2020-04-18 18:53:48,1.2,-70.17,73.31,87,99,4.45,light rain,1.04,0.0
127,Vila,PT,2020-04-18 18:50:09,42.03,-8.16,57.2,82,40,4.7,scattered clouds,0.0,0.0
128,Pokrovskoye,RU,2020-04-18 18:53:48,47.42,38.9,48.99,57,74,1.99,broken clouds,0.0,0.0
129,Bardiyah,LY,2020-04-18 18:53:48,31.76,25.09,60.91,73,0,8.48,clear sky,0.0,0.0
130,Oistins,BB,2020-04-18 18:53:49,13.07,-59.53,86.0,58,20,19.46,few clouds,0.0,0.0
131,Nyrsko,CZ,2020-04-18 18:53:49,49.29,13.14,56.48,69,100,0.54,light rain,1.3,0.0
132,Ananas,HT,2020-04-18 18:53:49,19.25,-71.96,84.2,66,20,16.11,few clouds,0.0,0.0
133,Hermanus,ZA,2020-04-18 18:53:50,-34.42,19.23,72.0,36,6,2.06,clear sky,0.0,0.0
134,Tuatapere,NZ,2020-04-18 18:50:03,-46.13,167.68,42.01,93,94,5.01,overcast clouds,0.0,0.0
