City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
483,Trinidad,BO,scattered clouds,84.2,-14.83,-64.9,Hotel Piesta
491,Monrovia,LR,broken clouds,82.4,6.3,-10.8,Eco-Hotel Hall & Restaurant
497,Marang,MY,few clouds,80.6,5.21,103.21,DBarakah Homestay
498,Uravakonda,IN,overcast clouds,87.51,14.95,77.27,Divya Lodge
506,Alappuzha,IN,few clouds,82.63,9.49,76.33,Ramada by Wyndham Alleppey
510,Narasannapeta,IN,scattered clouds,81.1,18.42,84.05,G.lingaraju home
511,Tarabha,IN,few clouds,86.16,20.73,83.65,tulapada full
514,Ambilobe,MG,overcast clouds,75.83,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
515,Angul,IN,clear sky,81.63,20.85,85.1,Bluebay 08 satkosia Tarava
516,Culebra,PR,clear sky,86.0,18.3,-65.3,Palmetto Guesthouse
517,Itaituba,BR,scattered clouds,89.6,-4.28,-55.98,Hotel Campos
522,Hoa Binh,VN,broken clouds,77.0,20.81,105.34,Hoa Dao Hotel
527,Opuwo,,broken clouds,76.37,-18.06,13.84,ABBA Guesthouse
530,Dondo,MZ,scattered clouds,80.6,-19.61,34.74,Arco Iris
535,San Cristobal,VE,smoke,84.2,7.77,-72.22,Pirineos
538,Upington,ZA,clear sky,78.8,-28.45,21.26,River Place Manor
546,Thinadhoo,MV,overcast clouds,84.45,0.53,72.93,
549,Montes Altos,BR,overcast clouds,80.15,-5.83,-47.07,Montes Altos
552,George Town,MY,scattered clouds,82.4,5.41,100.34,Cititel Penang
558,Parana,AR,clear sky,82.99,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
559,Aguada,PR,heavy intensity rain,82.99,18.38,-67.19,Hotel Colombus
560,Ahuimanu,US,clear sky,80.6,21.44,-157.84,Paradise Bay Resort
566,Cabo San Lucas,MX,clear sky,79.0,22.89,-109.91,Hotel Tesoro Los Cabos
568,Lorengau,PG,broken clouds,82.51,-2.02,147.27,Lorengau Harbourside Hotel
574,Waw,SS,scattered clouds,87.71,7.7,28.0,Universal Gab Hotel
583,Praia,CV,scattered clouds,78.8,14.92,-23.51,LT Aparthotel
584,Werda,BW,scattered clouds,78.76,-25.27,23.28,
589,San Patricio,MX,few clouds,82.4,19.22,-104.7,Hotel Cabo Blanco
