City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Ust-Maya,RU,2020-04-18 16:55:00,60.42,134.53,5.81,92,85,3.98
130,Svencionys,LT,2020-04-18 16:55:00,55.15,26.17,36.77,73,78,5.7
131,Saint-Paul,RE,2020-04-18 16:53:25,-21.01,55.27,77.0,78,90,17.22
132,San Patricio,MX,2020-04-18 16:53:02,19.22,-104.7,82.4,78,20,6.93
133,Wanning,CN,2020-04-18 16:51:25,18.8,110.4,76.26,91,49,8.3
134,Saldanha,ZA,2020-04-18 16:51:02,-33.01,17.94,78.8,22,21,9.17
135,Caravelas,BR,2020-04-18 16:53:02,-17.71,-39.25,77.49,78,98,21.54
136,Ginda,IN,2020-04-18 16:55:01,30.69,78.49,53.15,34,83,8.32
137,Harper,LR,2020-04-18 16:55:02,4.38,-7.72,82.0,82,92,9.82
138,Sisophon,KH,2020-04-18 16:55:02,13.59,102.97,82.56,71,34,5.97
139,Ucluelet,CA,2020-04-18 16:47:02,48.93,-125.55,52.0,93,90,2.24
140,Frontera,MX,2020-04-18 16:55:02,26.93,-101.45,76.62,54,83,4.74
141,Naze,JP,2020-04-18 16:55:03,28.37,129.48,62.6,88,75,3.36
142,Zhigansk,RU,2020-04-18 16:52:08,66.77,123.37,2.62,93,30,12.91
143,Mumford,GH,2020-04-18 16:55:03,5.26,-0.76,83.77,78,57,12.17
144,Ballina,AU,2020-04-18 16:55:03,-28.87,153.57,64.0,79,40,3.36
145,Marzuq,YE,2020-04-18 16:53:08,14.4,46.47,76.19,46,11,8.66
146,Tambun,ID,2020-04-18 16:55:04,-6.26,107.07,80.6,83,40,4.7
147,Bull Savanna,JM,2020-04-18 16:55:04,17.89,-77.59,85.15,53,7,11.27
148,Broken Hill,AU,2020-04-18 16:55:04,-31.95,141.43,57.2,54,75,5.82
149,Ossora,RU,2020-04-18 16:55:04,59.24,163.07,13.28,88,0,7.58
150,Saskylakh,RU,2020-04-18 16:51:03,71.92,114.08,8.49,81,0,5.06
151,Saint-Pierre,RE,2020-04-18 16:55:05,-21.34,55.48,78.8,78,5,24.16
152,Saint George,US,2020-04-18 16:51:36,37.1,-113.58,64.0,51,1,3.36
153,Nizhniy Tsasuchey,RU,2020-04-18 16:55:05,50.52,115.13,32.07,71,14,11.27
